ID,Intent,User_Message,Bot_Response
824,photo_selfie,take a picture,I bet it looks amazing!
638,money,no money,Same here! Let's be broke together lol
387,feeling_sad,i just want to cry,"That sounds really tough. Remember, this too shall pass."
416,feeling_happy,feeling blessed,Yay! You deserve all the happiness! ❤️
177,sorry,oops sorry,No problem! It happens.
223,laugh,i cant stop laughing,😂 it's too good!
348,compliment,you're so sweet,Aww thank you so much! 😊
1004,sharing_news,major announcement,I'm listening! Don't keep me waiting! 😱
1033,late_reply,was away from phone,No worries! Better late than never! 😊
294,food,food cravings hitting hard,Let's grab some food! Any preferences?
156,thanks,i appreciate it,Glad I could help!
977,sharing_news,breaking news,I'm listening! Don't keep me waiting! 😱
711,disagreement,wrong,Interesting perspective! Tell me more.
241,ask_plans,free today,"Nothing much, just chilling at home. You?"
748,help_request,i dont know what to do,Sure thing! What's the question?
393,feeling_sad,everything is going wrong,Take a deep breath. I'm here if you need to vent.
815,photo_selfie,take a picture,Love a good photo! Share it!
289,food,dinner time,Let's grab some food! Any preferences?
729,disagreement,i dont think so,"Fair enough, everyone has their opinion!"
600,health_fitness,trying to be healthier,Hope you feel better soon! 🤗
86,how_are_you,everything alright,Pretty good! How about you?
196,laugh,lol,Lmaooo I can't either 😂
833,photo_selfie,look at this sunset pic,Post it! The world needs to see! 🔥
98,goodbye,im leaving,Talk to you soon!
903,birthday_celebration,invited to a party,Let's make it memorable! 🎈
172,sorry,forgive me,No stress! Everything's cool.
653,money,budget tight,Money comes and goes. Don't stress too much!
565,travel,traveling tomorrow,I need a vacation too! Let's plan something!
632,relationship,i miss you,That's so romantic!
308,weather,so cold,The weather has been so unpredictable lately!
350,compliment,you're awesome,"Stop it, you're making me blush!"
212,laugh,LMAOOO,Lol I know right!
502,work_study,deadline approaching,"Take a break, you deserve it!"
743,help_request,i need a favor,Of course! What do you need? 😊
423,feeling_happy,best day ever,I'm so glad to hear that! 😊
870,sports,practice today,Let's gooo! What a win! 🎉
263,food,i am hungry,Let's go out to eat! I know a great place.
224,laugh,bruh 😂,Lmaooo I can't either 😂
144,thanks,thank you for everything,Anytime!
1029,late_reply,phone was on silent,No worries! Better late than never! 😊
971,insult_tease,who asked,"Hey, that's not nice! 😅"
269,food,lets grab food,I just ate but I could eat again lol
935,confusion,what are you talking about,"My bad, let me rephrase that!"
844,sports,cricket,That was an insane game!
261,ask_plans,what are you up to,Working on some stuff. What's up?
934,confusion,come again,"Sorry, let me clarify!"
477,music,any new albums,Let me send you my playlist! You'll love it.
682,agreement,agreed,Glad you think so too!
195,laugh,hahaha,Lol I know right!
15,greeting,hello there,Hello! Nice to hear from you!
1003,sharing_news,plot twist,OMG what?! Tell me everything! 👀
1025,late_reply,internet was down,Haha it's fine! We've all been there!
485,music,whats your favorite song,Music is life! 🎵 What are you in the mood for?
513,work_study,meeting in 5 minutes,"Work hard now, party later! 😎"
880,birthday_celebration,what gift should i get,Party time! Let's celebrate! 🥳
56,how_are_you,how are u,Can't complain! You?
325,weather,the heat is killing me,I love this weather tbh! 😍
765,help_request,can you do me a favor,I'm all ears! What do you need help with?
527,work_study,boss is annoying,I believe in you! You can do it!
332,compliment,looking good,Thank you! You're not so bad yourself 😉
359,compliment,love your style,You're too kind! ❤️
483,music,suggest a song,Music is life! 🎵 What are you in the mood for?
994,sharing_news,omg listen to this,You've got my full attention! Tell me!
42,greeting,hi friend,Hello! How's it going?
582,health_fitness,need more sleep,Take care of yourself! Health comes first! 🏥
338,compliment,you're gorgeous,Thank you! You're not so bad yourself 😉
694,agreement,same,Glad you think so too!
333,compliment,nice pic,Thank you! You're not so bad yourself 😉
133,thanks,thanks so much,No problem at all!
628,relationship,cant live without you,That's exciting! Tell me everything!
399,feeling_happy,i am so happy,That's the spirit! Keep shining! ✨
389,feeling_sad,worst day ever,"I'm sorry you're going through this. It will get better, I promise."
807,photo_selfie,selfie time,Love a good photo! Share it!
615,relationship,had a fight with my partner,Love you more! 😘
315,weather,weather sucks today,I love this weather tbh! 😍
649,money,can i borrow money,Time to start budgeting! 💰
696,agreement,me too,Glad you think so too!
762,help_request,quick question,"Sure, I'm happy to help! What's up?"
740,help_request,help me,Of course! What do you need? 😊
627,relationship,ilu,You're so sweet! ❤️
386,feeling_sad,feeling overwhelmed,Sending you a big hug! 🤗 You're stronger than you think.
733,disagreement,cap,Really? Why do you think so?
968,insult_tease,youre boring,"Hey, that's not nice! 😅"
487,music,listening to any good music,Let me send you my playlist! You'll love it.
1012,late_reply,my bad for replying late,Haha it's fine! We've all been there!
862,sports,going to play,Let's gooo! What a win! 🎉
280,food,have you eaten,I just ate but I could eat again lol
356,compliment,you're awesome,Aww you're so sweet! Thank you!
373,feeling_sad,i cant do this anymore,"Hey, I'm here for you. Want to talk about it? ❤️"
469,music,what are you listening to,I've been listening to some great stuff lately! What genre do you like?
853,sports,scored a goal,What a match that was! 🏏
136,thanks,thanks bro,Happy to help!
100,goodbye,gn,Talk to you soon!
920,confusion,say that again,"Sorry, let me clarify!"
647,money,stock market is crazy,Money comes and goes. Don't stress too much!
