row_id,sentence,topic,domain,sentiment,language_style,char_count,token_count,unique_token_count,avg_word_length,type_token_ratio,has_stopwords,approx_perplexity,unigram_sample,unigram_freq,bigram_sample,bigram_freq,trigram_sample,trigram_freq,4gram_sample,5gram_sample,most_common_bigram,most_common_trigram,tokens_list
1,The weaar today is absolutely beautiful and sunny. Really.,weather,customer_service,positive,formal,58,9,9,5.33,1,TRUE,104.8201,the,1,the weaar,1,beautiful and sunny,1,today is absolutely beautiful,weaar today is absolutely beautiful,the weaar,the weaar today,the | weaar | today | is | absolutely | beautiful | and | sunny | really
2,It looks like rain is coming this afternoon.,food,social_media,negative,informal,44,8,8,4.5,1,TRUE,244.3872,it,1,coming this,1,it looks like,1,is coming this afternoon,it looks like rain is,it looks,it looks like,it | looks | like | rain | is | coming | this | afternoon
3,Temperature dropped significantly overnight.,travel,news,neutral,technical,44,4,4,10,1,FALSE,103.0824,temperature,1,temperature dropped,1,temperature dropped significantly,1,temperature dropped significantly overnight,,temperature dropped,temperature dropped significantly,temperature | dropped | significantly | overnight
4,Strong winds are expected throughout the day.,technology,academic,mixed,colloquial,45,7,7,5.43,1,TRUE,95.5583,strong,1,throughout the,1,throughout the day,1,strong winds are expected,are expected throughout the day,strong winds,strong winds are,strong | winds | are | expected | throughout | the | day
5,The forecast shows clear skies for the weekend.,sports,casual_chat,positive,academic,47,8,7,4.88,0.875,TRUE,103.7674,the,2,for the,1,for the weekend,1,skies for the weekend,clear skies for the weekend,the forecast,the forecast shows,the | forecast | shows | clear | skies | for | the | weekend
6,Humidity levels are very high today.,health,e-commerce,negative,formal,36,6,6,5,1,TRUE,285.293,humidity,1,high today,1,are very high,1,humidity levels are very,humidity levels are very high,humidity levels,humidity levels are,humidity | levels | are | very | high | today
7,Snow is expected to fall heavily tonight.,education,healthcare,neutral,informal,41,7,7,4.86,1,TRUE,383.741,snow,1,expected to,1,expected to fall,1,is expected to fall,snow is expected to fall,snow is,snow is expected,snow | is | expected | to | fall | heavily | tonight
8,It is a perfect day for outdoor activities.,business,legal,mixed,technical,43,8,8,4.38,1,TRUE,56.7522,it,1,a perfect,1,it is a,1,it is a perfect,perfect day for outdoor activities,it is,it is a,it | is | a | perfect | day | for | outdoor | activities
9,Thunderstorms may develop in the late evening.,science,finance,positive,colloquial,46,7,7,5.57,1,TRUE,297.2981,thunderstorms,1,develop in,1,the late evening,1,develop in the late,thunderstorms may develop in the,thunderstorms may,thunderstorms may develop,thunderstorms | may | develop | in | the | late | evening
10,The heat wave continues into the next week.,politics,entertainment,negative,academic,43,8,7,4.38,0.875,TRUE,229.7754,the,2,into the,1,the heat wave,1,continues into the next,the heat wave continues into,the heat,the heat wave,the | heat | wave | continues | into | the | next | week
